year,sector_crf,category_crf,activity_crf,pollutant,co2_eq
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3c Transporte por ferrocarril,N2O,0.03107496
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3e Otros medios de transporte,CH4,0.0006152377
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3e Otros medios de transporte,CO2,1.2315058807
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3e Otros medios de transporte,N2O,0.0005881938
2016,CRF 1 Energía,1.A. Actividades de combustión,1A4a Comercial / institucional,N2O,2.6561201947
2016,CRF 1 Energía,1.A. Actividades de combustión,1A4a Comercial / institucional,CH4,12.0651331753
2016,CRF 1 Energía,1.A. Actividades de combustión,1A4a Comercial / institucional,CO2,1953.0722708397
2016,CRF 1 Energía,1.A. Actividades de combustión,1A4b  ResidencialEstacionaria,N2O,4.775815955
2016,CRF 1 Energía,1.A. Actividades de combustión,1A4b  ResidencialEstacionaria,CO2,3554.363402
2016,CRF 1 Energía,1.A. Actividades de combustión,1A4b  ResidencialEstacionaria,CH4,28.098156044
2016,CRF 1 Energía,1.A. Actividades de combustión,1A4c Agricultura/Pesca/Forestal,CH4,0.155794548
2016,CRF 1 Energía,1.A. Actividades de combustión,1A4c Agricultura/Pesca/Forestal,CO2,96.46196
2016,CRF 1 Energía,1.A. Actividades de combustión,1A4c Agricultura/Pesca/Forestal,N2O,1.05388645
2016,CRF 1 Energía,1.A. Actividades de combustión,"1A5b  Otros, móviles (incluidos barcos militares, terrestres y de recreo)",CH4,0.01607522
2016,CRF 1 Energía,1.A. Actividades de combustión,"1A5b  Otros, móviles (incluidos barcos militares, terrestres y de recreo)",CO2,67.280516
2016,CRF 1 Energía,1.A. Actividades de combustión,"1A5b  Otros, móviles (incluidos barcos militares, terrestres y de recreo)",N2O,0.505198915
2016,CRF 1 Energía,1.B. Emisiones fugitivas de los combustibles,1B2b Emisiones fugitivas de gas natural ,CH4,12.5847904264
2016,CRF 1 Energía,1.B. Emisiones fugitivas de los combustibles,1B2b Emisiones fugitivas de gas natural ,CO2,0.0110645386
2016,CRF 1 Energía,1.B. Emisiones fugitivas de los combustibles,1B2c  Emisiones fugitivas de ven-teo y quema en antorcha,CH4,0.4927478749
2016,CRF 1 Energía,1.B. Emisiones fugitivas de los combustibles,1B2c  Emisiones fugitivas de ven-teo y quema en antorcha,CO2,0.0004334882
2016,CRF 2 Procesos industriales y uso de productos,2.A. Productos minerales,2A1 Producción de cemento,CO2,343.891
2016,CRF 2 Procesos industriales y uso de productos,2.A. Productos minerales,2A2 Producción de Cal,CO2,51.1491540675
2016,CRF 2 Procesos industriales y uso de productos,2.A. Productos minerales,2A4a Producción de cerámica,CO2,0.707052
