year,emission_concept,tons_pst
2020,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2020,Emisión de partículas en suspensión en plantas de combustión industrial,815
2021,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,417
2021,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,246
2021,Emisión de partículas en suspensión en el transporte por carretera,2756
2021,Emisión de partículas en suspensión en el uso de disolventes y otros productos,249
2021,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2021,Emisión de partículas en suspensión en procesos industriales sin combustión,4208
2021,Emisión de partículas en suspensión en plantas de combustión industrial,762
2021,Emisión de partículas en suspensión en plantas de combustión no industrial,1244
2021,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,61
2021,Total emisión de partículas en suspensión,11050
2021,Emisión de partículas en suspensión en agricultura,823
2021,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),284
