id;lugar_infr;utm_x;utm_y
169;C PRINCESA 20;439493.72;4475356.17
170;C PRINCESA 19;439497.64;4475326.5
171;C TOLEDO 142;439473.73;4472784.97
172;RONDA DE VALENCIA 7;440515.09;4472991.66
173;RONDA DE VALENCIA 8 C1;440533.55;4473007.61
174;RONDA DE VALENCIA 8 C2;440533.55;4473007.61
175;AV RAMON Y CAJAL 62 C1;443393.05;4478177.23
176;AV RAMON Y CAJAL 62 C2;443393.05;4478177.23
177;AV VALLADOLID 65;437906.14;4475927.64
178;C SOR ANGELA DE LA CRUZ 16;441152.29;4478973.33
179;C SOR ANGELA DE LA CRUZ 13 C1;441112.99;4478968.98
180;C SOR ANGELA DE LA CRUZ 13 C2;441112.99;4478968.98
181;AV ASTURIAS 66 C1;440744.67;4480383.9
182;AV ASTURIAS 66 C2;440744.67;4480383.9
183;AV ASTURIAS - PO DIRECCION C1;440659.43;4480442.19
184;AV ASTURIAS - PO DIRECCION C2;440659.43;4480442.19
185;C SANTA ENGRACIA 46 C1;440798.13;4476100.04
186;C SANTA ENGRACIA 46 C2;440798.13;4476100.04
187;C FERRAZ 30;439205.34;4475236.95
188;PO FRANCISCO DE SALES 33 C1;439533.38;4477106.67
189;PO FRANCISCO DE SALES 33 C2;439533.38;4477106.67
190;PO FRANCISCO DE SALES 40 C1;439541.03;4477098.17
191;PO FRANCISCO DE SALES 40 C2;439541.03;4477098.17
192;PO PINTOR DE ROSALES 64;438625.72;4475823.04
193;M30PK11.400C EXT C1;442277.55;4471085.92
194;M30PK11.400C EXT C2;442277.55;4471085.92
195;M30PK11.500L INT C1;442198.24;4470993.51
196;M30PK11.500L INT C2;442198.24;4470993.51
197;M30PK0.600C EXT C1;442852.8;4481075.52
198;M30PK0.600C EXT C2;442852.8;4481075.52
199;M30PK0.600C EXT C3;442852.8;4481075.52
200;M30PK5.600L EXT C1;444063.49;4476350.49
201;M30PK5.600L EXT C2;444063.49;4476350.49
202;M30PK8.000L EXT C1;444063.49;4476350.49
203;M30PK8.000L EXT C2;444063.49;4476350.49
204;M30PK8.000L EXT C3;444063.49;4476350.49
205;M30PK0.500C INT C1;442839.64;4481183.85
206;M30PK0.500C INT C2;442839.64;4481183.85
207;M30PK0.500C INT C3;442839.64;4481183.85
208;M30PK4.100L INT C1;443791.67;4477846
