district_id,expected_saving_kg,expected_capex_eur,tech,saving_per_eur
8,24704454.923808135,66111177.05538133,biomass_boiler,0.3736804580428694
9,84150158.01863448,243305024.09066793,biomass_boiler,0.34586280465493313
10,25847668.11952113,62573753.187427334,biomass_boiler,0.4130752400627071
11,33372535.946215697,82352111.05502667,biomass_boiler,0.4052420213480208
12,23056295.38546069,56462717.819151334,biomass_boiler,0.40834547602383264
13,20608333.051978674,48421712.318001635,biomass_boiler,0.42560107987583823
14,8503948.991471073,20425334.115453497,biomass_boiler,0.41634320121290525
15,24205605.037873805,62990849.69155259,biomass_boiler,0.38427176576282807
16,43763313.45497346,130485922.82514577,biomass_boiler,0.33538723953860783
17,7841473.790876522,20063529.77012041,biomass_boiler,0.3908322155034967
18,10464371.932592759,31754128.817951996,biomass_boiler,0.3295436632063038
19,3817721.8678681725,7426959.592716466,biomass_boiler,0.5140356319714151
20,12624785.344232261,37635828.1352742,biomass_boiler,0.3354459293111628
21,6890606.190975267,20042861.47083676,biomass_boiler,0.3437935347206486
