district_id,expected_saving_kg,expected_capex_eur,tech,saving_per_eur,capex_eur_kw,efficiency_cop,adoption_rate,OPEX,expected_capex_eur_subsidized,total_cost,weighted_saving
19,4822330.805517764,5050332.523047197,district_heating,0.9548541177261206,800,1.0,0.3,0.0,4545299.270742477,4545299.270742477,1446699.241655329
20,17691843.782342386,25592363.131986458,district_heating,0.691293871187313,800,1.0,0.3,0.0,23033126.818787813,23033126.818787813,5307553.134702715
21,9591413.459603727,13629145.800168997,district_heating,0.7037428170652336,800,1.0,0.3,0.0,12266231.220152097,12266231.220152097,2877424.037881118
1,13871568.863373516,39513556.65175866,gas_boiler,0.35105847306094434,600,0.9,0.3,0.0,35562200.9865828,35562200.9865828,4161470.6590120546
2,5572611.56603789,21222180.055215765,gas_boiler,0.26258431280571065,600,0.9,0.3,0.0,19099962.049694188,19099962.049694188,1671783.4698113669
3,7961787.865384352,24143205.830893803,gas_boiler,0.3297734327889628,600,0.9,0.3,0.0,21728885.247804422,21728885.247804422,2388536.3596153054
4,5749091.903047123,22673166.043656036,gas_boiler,0.25356370133652867,600,0.9,0.3,0.0,20405849.439290434,20405849.439290434,1724727.570914137
5,23773480.325713042,73679068.61005491,gas_boiler,0.32266260654750867,600,0.9,0.3,0.0,66311161.74904942,66311161.74904942,7132044.097713913
6,15717135.101858925,47815800.90486541,gas_boiler,0.32870170120395614,600,0.9,0.3,0.0,43034220.814378865,43034220.814378865,4715140.530557677
7,4392561.120362974,17929805.670083903,gas_boiler,0.24498654370203327,600,0.9,0.3,0.0,16136825.103075514,16136825.103075514,1317768.336108892
8,10855773.725614315,37463000.33138275,gas_boiler,0.2897732063526272,600,0.9,0.3,0.0,33716700.29824448,33716700.29824448,3256732.1176842945
9,31076043.504607577,137872846.98471186,gas_boiler,0.22539640099006203,600,0.9,0.3,0.0,124085562.28624067,124085562.28624067,9322813.051382273
10,12262831.94801435,35458460.139542155,gas_boiler,0.3458365619870567,600,0.9,0.42,0.0,31912614.12558794,31912614.12558794,5150389.418166027
11,15468671.170432623,46666196.26451511,gas_boiler,0.33147486636263457,600,0.9,0.437,0.0,41999576.6380636,41999576.6380636,6759809.3014790565
12,10802089.829879541,31995540.097519092,gas_boiler,0.3376123608776689,600,0.9,0.437,0.0,28795986.087767184,28795986.087767184,4720513.255657359
13,10014081.177022854,27438970.31353426,gas_boiler,0.3649583443764802,600,0.9,0.345,0.0,24695073.282180835,24695073.282180835,3454858.0060728844
14,4014172.601045724,11574355.998756982,gas_boiler,0.34681606488316263,600,0.9,0.3,0.0,10416920.398881285,10416920.398881285,1204251.7803137172
15,11000234.784380123,35694814.825213134,gas_boiler,0.3081745860917053,600,0.9,0.343,0.0,32125333.34269182,32125333.34269182,3773080.5310423826
16,16087408.025628222,73942022.93424927,gas_boiler,0.21756786448665963,600,0.9,0.3,0.0,66547820.64082434,66547820.64082434,4826222.407688467
