año;municipio_codigo;municipio_nombre;entidad_codigo;entidad_nombre;fecha_festivo
2025;176;Villanueva de la Cañada;00;Villanueva de la Cañada;2025-05-15
2025;176;Villanueva de la Cañada;00;Villanueva de la Cañada;2025-07-28
2025;178;Villanueva de Perales;00;Villanueva de Perales;2025-05-05
2025;178;Villanueva de Perales;00;Villanueva de Perales;2025-12-09
2025;177;Villanueva del Pardillo;00;Villanueva del Pardillo;2025-10-16
2025;177;Villanueva del Pardillo;00;Villanueva del Pardillo;2025-10-17
2025;179;Villar del Olmo;00;Villar del Olmo;2025-05-15
2025;179;Villar del Olmo;00;Villar del Olmo;2025-09-22
2025;180;Villarejo de Salvanés;00;Villarejo de Salvanés;2025-09-01
2025;180;Villarejo de Salvanés;00;Villarejo de Salvanés;2025-10-07
2025;181;Villaviciosa de Odón;00;Villaviciosa de Odón;2025-01-20
2025;181;Villaviciosa de Odón;00;Villaviciosa de Odón;2025-09-22
2025;182;Villavieja del Lozoya;00;Villavieja del Lozoya;2025-08-25
2025;182;Villavieja del Lozoya;00;Villavieja del Lozoya;2025-12-05
2025;183;Zarzalejo;00;Zarzalejo;2025-06-30
2025;183;Zarzalejo;00;Zarzalejo;2025-09-08
