gis_x;gis_y;fecha_alta;distrito;barrio;calle;num_finca;tipo_elemento;codigo;num_puerta;id_camara;longitud;latitud;direccion
440937,2945531550;4475407,4094054000;2018-11-30;01  CENTRO;01-04 JUSTICIA;SANTA BARBARA, PLAZA, DE;3;Cámaras;Camara Salida;68;68.1 s;-3.6962831;40.4272062;SANTA BARBARA, PLAZA, DE, 3
440934,4056642660;4475409,1871831800;2018-11-30;01  CENTRO;01-04 JUSTICIA;SANTA BARBARA, PLAZA, DE;3;Cámaras;Camara Salida;68;68.2 s;-3.6963172;40.427222;SANTA BARBARA, PLAZA, DE, 3
440852,8501087110;4475450,0205165200;2018-11-30;01  CENTRO;01-04 JUSTICIA;HERMANOS ALVAREZ QUINTERO, CALLE, DE LOS;6;Cámaras;Camara Salida;69;69 s;-3.6972824;40.427584;HERMANOS ALVAREZ QUINTERO, CALLE, DE LOS, 6
440682,8501087110;4475498,3538498500;2018-11-30;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;21;Cámaras;Camara Salida;70;70.1 s;-3.6992909;40.4280073;MEJIA LEQUERICA, CALLE, DE, 21
440511,6556642660;4475548,8260720700;2018-12-05;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;25;Cámaras;Camara Salida;71;71 s;-3.7013137;40.4284498;CHURRUCA, CALLE, DE, 25
440423,5723309330;4475563,8260720700;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;1;Cámaras;Camara Salida;72;72 s;-3.7023535;40.4285786;MANUELA MALASAÑA, CALLE, DE, 1
440346,3223309330;4475604,3260720700;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;44;Cámaras;Camara Salida;73;73 s;-3.703268;40.4289379;SAN ANDRES, CALLE, DE, 44
440214,4889975990;4475620,4094054000;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;MONTELEON, CALLE, DE;19;Cámaras;Camara Salida;74;74 s;-3.7048235;40.4290733;MONTELEON, CALLE, DE, 19
440115,1556642660;4475592,4927387400;2019-01-15;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;88;Cámaras;Camara Salida;75;75.1 s;-3.7059918;40.4288147;SAN BERNARDO, CALLE, DE, 88
440112,2389975990;4475593,6594054000;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;88;Cámaras;Camara Salida;75;75.2 s;-3.7060264;40.428825;SAN BERNARDO, CALLE, DE, 88
